start_utc,end_utc,minutes,max_layers,max_capital_proxy_usd,worst_spot_low,min_index_low_edge_proxy_bp,max_index_close_edge_proxy_bp
2026-04-19 22:00:00,2026-04-19 22:00:00,1,1,2000,74044.53,-7.036214801101615,-5.4229560572061075
2026-04-20 14:51:00,2026-04-20 14:51:00,1,1,2000,74988.78,-4.4767989847360745,10.813200742973983
2026-04-23 10:05:00,2026-04-23 10:05:00,1,1,2000,77215.01,-5.834647287601413,10.844740551874121
2026-04-27 15:04:00,2026-04-27 15:04:00,1,1,2000,77305.71,-7.918196124743204,-3.135759475216826
2026-04-27 15:18:00,2026-04-27 15:18:00,1,1,2000,76900.0,-3.508152096799444,10.433882157561136
2026-04-29 12:14:00,2026-04-29 12:14:00,1,3,6000,76850.0,45.79135129474832,45.79135129474832
2026-04-29 18:08:00,2026-04-29 18:09:00,2,2,4000,75000.0,-12.727839498589688,2.8075349199796484
2026-04-30 02:30:00,2026-04-30 02:30:00,1,1,2000,75806.37,3.0099275258610447,3.0099275258610447
2026-05-01 04:28:00,2026-05-01 04:29:00,2,1,2000,76653.6,26.95187785337838,37.14199809534912
2026-05-01 15:50:00,2026-05-01 15:50:00,1,1,2000,78299.58,1.191777008708872,12.396496065227858
2026-05-04 01:56:00,2026-05-04 01:56:00,1,2,4000,78955.14,29.138701003692535,31.88699826165653
2026-05-04 15:19:00,2026-05-04 15:20:00,2,2,4000,79320.28,-3.3319534622788805,33.265731327911666
2026-05-17 23:40:00,2026-05-17 23:41:00,2,2,4000,76735.16,-11.578146921580323,6.005798681758545
2026-05-18 13:36:00,2026-05-18 13:36:00,1,1,2000,76868.35,1.9992968343585105,2.365473200769408
2026-05-22 18:45:00,2026-05-22 18:45:00,1,1,2000,76138.0,-7.8942879418786305,-7.8942879418786305
2026-05-22 19:30:00,2026-05-22 19:30:00,1,2,4000,75705.13,-12.417682849873435,-12.372446260371373
2026-05-23 07:50:00,2026-05-23 07:50:00,1,3,6000,74289.6,-29.019509765214615,-29.019509765214615
2026-05-27 21:40:00,2026-05-27 21:40:00,1,1,2000,74575.62,0.6496761273044882,12.726432672487409
2026-05-28 03:18:00,2026-05-28 03:18:00,1,2,4000,73500.0,-7.15466671533771,16.0259748896463
2026-05-28 04:02:00,2026-05-28 04:02:00,1,2,4000,72728.85,-8.527823540241952,-6.105325319221144
2026-05-29 18:52:00,2026-05-29 18:52:00,1,1,2000,73187.25,-0.7739990195343438,4.795310072660541
2026-06-01 09:52:00,2026-06-01 09:52:00,1,1,2000,72600.0,25.595688111785808,31.770780113389296
2026-06-02 14:27:00,2026-06-02 14:27:00,1,1,2000,67617.85,2.57486475434332,19.77174433619666
2026-06-02 19:33:00,2026-06-02 19:33:00,1,1,2000,66432.0,3.0724820581773393,15.462420136695965
2026-06-02 22:58:00,2026-06-02 22:58:00,1,1,2000,66326.21,2.8717469874806056,9.703015920925484
2026-06-03 20:55:00,2026-06-03 20:55:00,1,1,2000,64766.0,5.192574432035801,20.261974399073956
2026-06-04 00:29:00,2026-06-04 00:29:00,1,1,2000,63358.01,-9.219223493994733,-9.219223493994733
2026-06-04 00:37:00,2026-06-04 00:37:00,1,1,2000,63338.51,0.5264173554642149,2.0164379455445136
2026-06-04 02:03:00,2026-06-04 02:03:00,1,1,2000,61530.4,1.963399919771014,12.413690576351666
2026-06-04 02:15:00,2026-06-04 02:15:00,1,1,2000,62150.0,3.4756184306949933,12.87813359614809
2026-06-05 06:24:00,2026-06-05 06:24:00,1,1,2000,61126.01,0.5517212970529428,45.00333370294874
2026-06-05 12:31:00,2026-06-05 12:31:00,1,1,2000,61764.56,2.304603342657696,12.113966724942582
2026-06-05 13:49:00,2026-06-05 13:49:00,1,1,2000,61260.7,-4.595661976393162,-3.851466004166637
2026-06-05 14:11:00,2026-06-05 14:11:00,1,1,2000,60694.0,1.5750870228758984,5.491422344598984
2026-06-05 14:38:00,2026-06-05 14:38:00,1,1,2000,60894.83,0.5424268906217833,0.5424268906217833
2026-06-05 16:00:00,2026-06-05 16:00:00,1,1,2000,60188.0,0.2891014366901423,0.8346044518248164
2026-06-05 16:16:00,2026-06-05 16:16:00,1,1,2000,60750.0,-5.908557602716247,12.246833416535985
2026-06-05 16:23:00,2026-06-05 16:23:00,1,1,2000,61132.98,-5.214496787889766,-3.8844817270844434
2026-06-05 16:28:00,2026-06-05 16:28:00,1,1,2000,60964.69,1.5086456494528555,6.693637895078819
2026-06-05 17:11:00,2026-06-05 17:11:00,1,1,2000,60981.5,-3.6153730314891774,-3.6153730314891774
2026-06-05 18:51:00,2026-06-05 18:52:00,2,1,2000,59273.0,-10.793422493046156,8.522451460124536
2026-06-05 20:16:00,2026-06-05 20:16:00,1,1,2000,60752.0,-6.259932066130514,-6.259932066130514
2026-06-05 21:16:00,2026-06-05 21:16:00,1,1,2000,61691.99,1.7501518025886398,2.2070323935907687
2026-06-06 04:38:00,2026-06-06 04:38:00,1,1,2000,59514.71,3.297264486326057,17.131764171605113
2026-06-06 05:07:00,2026-06-06 05:07:00,1,1,2000,59762.0,-2.917815938042745,14.703421717443543
2026-06-06 10:30:00,2026-06-06 10:30:00,1,1,2000,60239.0,-3.7182476953645516,7.2256747885934836
2026-06-07 22:16:00,2026-06-07 22:16:00,1,1,2000,63429.99,0.12076410539796356,0.5785355656340307
2026-06-08 12:01:00,2026-06-08 12:01:00,1,1,2000,63292.0,-0.16205000381241952,1.1594669099102006
2026-06-08 12:14:00,2026-06-08 12:14:00,1,1,2000,62718.3,5.609739442449246,5.609739442449246
2026-06-09 00:28:00,2026-06-09 00:28:00,1,2,4000,62457.0,35.1583636212971,35.8681865040511
2026-06-09 16:38:00,2026-06-09 16:38:00,1,2,4000,60892.75,-8.34232157612358,-7.910665236570136
2026-06-10 11:03:00,2026-06-10 11:03:00,1,1,2000,61172.0,4.605909387651597,4.605909387651597
2026-06-10 21:50:00,2026-06-10 21:50:00,1,1,2000,61220.3,5.410534947571932,22.048738465241247
2026-06-15 19:18:00,2026-06-15 19:18:00,1,1,2000,66566.38,2.301957830195267,2.301957830195267
